code;pdata_category;sort
pdata_asset_p_number;pdata_main;1
pdata_asset_windings;pdata_main;2
pdata_yr;pdata_main;3
pdata_asset_f;pdata_main;4
pdata_cooling_type;pdata_main;5
pdata_ltc_type;pdata_main;6
pdata_operation_counter_lim0;pdata_main;7
pdata_oil_protection;pdata_main;8
pdata_k_therm_tau_0;pdata_main;9
pdata_loss_max;pdata_main;10
pdata_bush;pdata_main;11
pdata_s;pdata_power;12
pdata_s_hv;pdata_power;13
pdata_s_mv;pdata_power;14
pdata_s_lv;pdata_power;15
pdata_s_lv1;pdata_power;16
pdata_s_lv2;pdata_power;17
pdata_nocooling_s;pdata_power;18
pdata_u_hv_nom;pdata_voltage;19
pdata_u_mv_nom;pdata_voltage;20
pdata_u_lv_nom;pdata_voltage;21
pdata_u_lv1_nom;pdata_voltage;22
pdata_u_lv2_nom;pdata_voltage;23
pdata_u_ltc;pdata_voltage;24
pdata_i_hv;pdata_current;25
pdata_i_lv;pdata_current;26
pdata_i_lv1;pdata_current;27
pdata_i_lv2;pdata_current;28
pdata_i_mv;pdata_current;29
pdata_i_shared;pdata_current;30
pdata_i_ltc;pdata_current;31
pdata_i_noload;pdata_kz_xx;32
pdata_u_shortcircuit_hv_mv;pdata_kz_xx;33
pdata_u_shortcircuit_hv_lv;pdata_kz_xx;34
pdata_u_shortcircuit_mv_lv;pdata_kz_xx;35
pdata_u_shortcircuit_hv_lv1;pdata_kz_xx;36
pdata_u_shortcircuit_hv_lv2;pdata_kz_xx;37
pdata_s_loss_noload_hv_mv;pdata_kz_xx;38
pdata_s_loss_noload_hv_lv;pdata_kz_xx;39
pdata_s_loss_noload_mv_lv;pdata_kz_xx;40
pdata_s_loss_noload_hv_lv1;pdata_kz_xx;41
pdata_s_loss_noload_hv_lv2;pdata_kz_xx;42
pdata_u_shortcircuit_hv_mvmax;pdata_kz_xx;43
pdata_u_shortcircuit_hv_mvmin;pdata_kz_xx;44
pdata_u_shortcircuit_hvmax_lv;pdata_kz_xx;45
pdata_u_shortcircuit_hvmin_lv;pdata_kz_xx;46
pdata_u_shortcircuit_mvmax_lv;pdata_kz_xx;47
pdata_u_shortcircuit_mvmin_lv;pdata_kz_xx;48
pdata_s_loss_shortcircuit_hv_mvmax;pdata_kz_xx;49
pdata_s_loss_shortcircuit_hv_mvmin;pdata_kz_xx;50
pdata_s_loss_shortcircuit_hvmax_lv;pdata_kz_xx;51
pdata_s_loss_shortcircuit_hvmin_lv;pdata_kz_xx;52
pdata_s_loss_shortcircuit_mvmax_lv;pdata_kz_xx;53
pdata_s_loss_shortcircuit_mvmin_lv;pdata_kz_xx;54
pdata_s_loss_shortcircuit_hvmax_lv1_lv2;pdata_kz_xx;55
pdata_s_loss_shortcircuit_hvmin_lv1_lv2;pdata_kz_xx;56
s_loss_shortcircuit;pdata_kz_xx;57
s_loss_noload;pdata_kz_xx;58
pdata_resistance_windings_hv;pdata_resistance;59
pdata_resistance_windings_mv;pdata_resistance;60
pdata_resistance_windings_lv;pdata_resistance;61
pdata_resistance_windings_lv1;pdata_resistance;62
pdata_resistance_windings_lv2;pdata_resistance;63
pdata_resistance_hv_r15;pdata_isolation;64
pdata_resistance_hv_r60;pdata_isolation;65
pdata_tg_hv_r15;pdata_isolation;66
pdata_tg_hv_r60;pdata_isolation;67
pdata_resistance_mv_r15;pdata_isolation;68
pdata_resistance_mv_r60;pdata_isolation;69
pdata_tg_mv_r15;pdata_isolation;70
pdata_tg_mv_r60;pdata_isolation;71
pdata_resistance_lv_r15;pdata_isolation;72
pdata_resistance_lv_r60;pdata_isolation;73
pdata_tg_lv_r15;pdata_isolation;74
pdata_tg_lv_r60;pdata_isolation;75
pdata_resistance_lv1_r15;pdata_isolation;76
pdata_resistance_lv1_r60;pdata_isolation;77
pdata_tg_lv1_r15;pdata_isolation;78
pdata_tg_lv1_r60;pdata_isolation;79
pdata_resistance_lv2_r15;pdata_isolation;80
pdata_resistance_lv2_r60;pdata_isolation;81
pdata_tg_lv2_r15;pdata_isolation;82
pdata_tg_lv2_r60;pdata_isolation;83
pdata_temp_r15_r60;pdata_isolation;84
pdata_oil_type;pdata_oil;85
pdata_tg_oil_90;pdata_oil;86
pdata_voltage_oil_resistance;pdata_oil;87
